ticker,name,sector,sub_industry,date_added,source
DD,DuPont,Materials,Specialty Chemicals,2019-06-03,wikipedia_current
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1957-03-04,wikipedia_current
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2002-07-22,wikipedia_current
ECL,Ecolab,Materials,Specialty Chemicals,1989-01-31,wikipedia_current
EIX,Edison International,Utilities,Electric Utilities,1957-03-04,wikipedia_current
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01,wikipedia_current
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002-07-22,wikipedia_current
ELV,Elevance Health,Health Care,Managed Health Care,2002-07-25,wikipedia_current
EME,Emcor,Industrials,Construction & Engineering,2025-09-22,wikipedia_current
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,1965-03-31,wikipedia_current
ETR,Entergy,Utilities,Electric Utilities,1957-03-04,wikipedia_current
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000-11-02,wikipedia_current
